Charge,Customer Class,Customer Subclass,Lower Limit Demand,Upper Limit Demand,Lower Limit Consumption,Upper Limit Consumption,Generation Charge,Transmission Charge,Transmission Charge,Distribution Charge,Distribution Charge,Supply Charge,Supply Charge,Metering Charge,Metering Charge,System Loss Charge,UC-ME,UC-EC,UC-SCC,Fit-All (Renewable),Lifeline Rate Subsidy,Senior Citizen Subsidy,Lifeline Discount,Special Discount,Power Factor Adj,Power Factor Adj,Supply Period,Supply Period Start,Supply Period End,Power Act Reduction,Distribution Rate True-Up,Current RPT Charge,UC-ME for (NPC-SPUG),UC-ME for (RED-CI),UC-SD,Prev. Mos' Adj on Gen Cost,Dist Rate True-Up 1,Dist Rate True-Up 2,Dist Rate True-Up 3,Dist Rate True-Up 4,Cross Subsidy Charge,For Non-lifeline: Lifeline Subsidy,For Lifeline: Applicable Discounts,Current RPT,Prev. Mos' Adj on Gen,Reset Cost Adjustment,kWh Attributable,kW Attributable
Unit,,,,,,,per kWh,per kWh,per kW,per kWh,per kW,per kWh,per cust/mo,per kWh,per cust/mo,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,%,%,Penalty,Disc,,,,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,%,per kWh,per kWh,per kWh,,
0,Residential,0 TO 20 KWH,,,0.0,20,5.3873,0.8964,,1.1945,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,,,100.00%,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,1.9614,0.0
1,Residential,21 TO 50 KWH,,,21.0,50,5.3873,0.8964,,1.1945,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,,,50.00%,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,1.9614,0.0
2,Residential,51 TO 70 KWH,,,51.0,70,5.3873,0.8964,,1.1945,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,,,35.00%,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,1.9614,0.0
3,Residential,71 TO 100 KWH,,,71.0,100,5.3873,0.8964,,1.1945,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,,,20.00%,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,1.9614,0.0
4,Residential,101 TO 200 KWH,,,101.0,200,5.3873,0.8964,,1.1945,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,2.1161,0.0
5,Residential,201 TO 300 KWH,,,201.0,300,5.3873,0.8964,,1.5518,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,2.1161,0.0
6,Residential,301 TO 400 KWH,,,301.0,400,5.3873,0.8964,,1.8890,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,2.1161,0.0
7,Residential,OVER 400 KWH,,,400.0,,5.3873,0.8964,,2.4763,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,Apr-2013,03-26-2013,04-25-2013,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,,2.1161,0.0
8,General Service A,0 TO 200 KWH,,,0.0,200,5.3873,0.8964,,1.1945,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,5%,,,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,2.1170999999999998,0.0
9,General Service A,201 TO 300 KWH,,,201.0,300,5.3873,0.8964,,1.5518,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,5%,,,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,2.1170999999999998,0.0
10,General Service A,301 TO 400 KWH,,,301.0,400,5.3873,0.8964,,1.8890,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,5%,,,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,2.1170999999999998,0.0
11,General Service A,OVER 400 KWH,,,400.0,,5.3873,0.8964,,2.4763,,0.5950,19.57,0.4003,5.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,5%,,,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,2.1170999999999998,0.0
12,General Service B,General Service B,5.0,40.0,,,5.3873,,270.82,0.1600,277.50,,434.70,,424.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,,,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,1.1218,0.0
13,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,5.3873,,300.72,0.1600,277.50,,989.00,,994.00,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,1.1218,0.0
14,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,5.3873,,300.72,0.1600,277.50,,"4,102.00",,"4,125.00",0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,1.1218,0.0
15,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,5.3873,,301.92,0.0600,213.74,,989.00,,994.00,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.746,0.0
16,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,5.3873,,301.92,0.0600,213.74,,"4,102.00",,"4,125.00",0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.746,0.0
17,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,5.3873,,301.92,0.0600,213.74,,"14,892.00",,"14,130.00",0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.746,0.0
18,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,5.3873,,334.66,0.0600,213.74,,989.00,,994.00,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.746,0.0
19,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,5.3873,,334.66,0.0600,213.74,,"4,102.00",,"4,125.00",0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.746,0.0
20,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,5.3873,,334.66,0.0600,213.74,,"14,892.00",,"14,130.00",0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.746,0.0
21,GP 115 KV / 69 KV,GP 115 KV / 69 KV,,,,,5.3873,,251.80,0.0600,167.46,,"14,892.00",,"14,130.00",0.0717,0.1163,0.0025,0.1938,,0.1546,0.0001,,3%,1.4%,0.7%,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,0.573,0.0
22,GHMSCI,GHMSCI,,,,,5.3873,1.0905,,1.0143,,,326.00,,325.84,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,Apr-2013,03-26-2013,04-25-2013,,,,,,,0.0314,,,,,0.0026,,,,,,1.1218,0.0
