Customer Class_,Customer Subclass_,Lower Limit Demand_,Upper Limit Demand_,Lower Limit Consumption_,Upper Limit Consumption_,Supply Period Start_,Supply Period End_,Supply Period_,kWh Attributable_,kW Attributable_,Generation Charge_per kWh,Transmission Charge_per kWh,Distribution Charge_per kWh,Supply Charge_per kWh,Metering Charge_per kWh,System Loss Charge_per kWh,UC-ME_per kWh,UC-EC_per kWh,UC-SCC_per kWh,Fit-All (Renewable)_per kWh,Lifeline Rate Subsidy_per kWh,Senior Citizen Subsidy_per kWh,Power Act Reduction_per kWh,Distribution Rate True-Up_per kWh,Current RPT Charge_per kWh,UC-ME for (NPC-SPUG)_per kWh,UC-ME for (RED-CI)_per kWh,UC-SD_per kWh,Prev. Mos' Adj on Gen Cost_per kWh,Dist Rate True-Up 1_per kWh,Dist Rate True-Up 2_per kWh,Dist Rate True-Up 3_per kWh,Dist Rate True-Up 4_per kWh,Cross Subsidy Charge_per kWh,For Non-lifeline: Lifeline Subsidy_per kWh,Current RPT_per kWh,Prev. Mos' Adj on Gen_per kWh,Reset Cost Adjustment_per kWh,Total per kWh_,Transmission Charge_per kW,Distribution Charge_per kW,Total per kW_,Supply Charge_per cust/mo,Metering Charge_per cust/mo,Total per cust/mo_,Lifeline Discount_%,Special Discount_%,For Lifeline: Applicable Discounts_%,Total %_,Power Factor Adj_Penalty,Power Factor Adj_Disc
Residential,0 TO 20 KWH,,,0.0,20.0,12-26-12,01-25-13,01-13,7.601500000000001,0.0,5.7910,0.8449,1.1945,0.5950,0.4003,0.6558,0.1163,0.0025,,,,,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,9.6409,,,0.0,19.57,5.00,24.57,100.00%,,,100.0,,
Residential,21 TO 50 KWH,,,21.0,50.0,12-26-12,01-25-13,01-13,7.601500000000001,0.0,5.7910,0.8449,1.1945,0.5950,0.4003,0.6558,0.1163,0.0025,,,,,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,9.6409,,,0.0,19.57,5.00,24.57,50.00%,,,50.0,,
Residential,51 TO 70 KWH,,,51.0,70.0,12-26-12,01-25-13,01-13,7.601500000000001,0.0,5.7910,0.8449,1.1945,0.5950,0.4003,0.6558,0.1163,0.0025,,,,,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,9.6409,,,0.0,19.57,5.00,24.57,35.00%,,,35.0,,
Residential,71 TO 100 KWH,,,71.0,100.0,12-26-12,01-25-13,01-13,7.601500000000001,0.0,5.7910,0.8449,1.1945,0.5950,0.4003,0.6558,0.1163,0.0025,,,,,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,9.6409,,,0.0,19.57,5.00,24.57,20.00%,,,20.0,,
Residential,101 TO 200 KWH,,,101.0,200.0,12-26-12,01-25-13,01-13,7.7349000000000006,0.0,5.7910,0.8449,1.1945,0.5950,0.4003,0.6558,0.1163,0.0025,,,0.1333,0.0001,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,9.7743,,,0.0,19.57,5.00,24.57,,,,0.0,,
Residential,201 TO 300 KWH,,,201.0,300.0,12-26-12,01-25-13,01-13,7.7349000000000006,0.0,5.7910,0.8449,1.5518,0.5950,0.4003,0.6558,0.1163,0.0025,,,0.1333,0.0001,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,10.1316,,,0.0,19.57,5.00,24.57,,,,0.0,,
Residential,301 TO 400 KWH,,,301.0,400.0,12-26-12,01-25-13,01-13,7.7349000000000006,0.0,5.7910,0.8449,1.8890,0.5950,0.4003,0.6558,0.1163,0.0025,,,0.1333,0.0001,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,10.4688,,,0.0,19.57,5.00,24.57,,,,0.0,,
Residential,OVER 400 KWH,,,,,12-26-12,01-25-13,01-13,7.7349000000000006,0.0,5.7910,0.8449,2.4763,0.5950,0.4003,0.6558,0.1163,0.0025,,,0.1333,0.0001,(0.0011),,,,,,,,,,,0.0103,,,0.0314,,11.0561,,,0.0,19.57,5.00,24.57,,,,0.0,,
General Service A,0 TO 200 KWH,,,0.0,200.0,12-26-12,01-25-13,01-13,7.736000000000001,0.0,5.7910,0.8449,1.1945,0.5950,0.4003,0.6558,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,9.7754,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
General Service A,201 TO 300 KWH,,,201.0,300.0,12-26-12,01-25-13,01-13,7.736000000000001,0.0,5.7910,0.8449,1.5518,0.5950,0.4003,0.6558,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,10.1327,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
