Charge,Customer Class,Customer Subclass,Lower Limit Demand,Upper Limit Demand,Lower Limit Consumption,Upper Limit Consumption,Supply Period,Supply Period Start,Supply Period End,kWh Attributable,kW Attributable,Generation Charge,Transmission Charge,Distribution Charge,Supply Charge,Metering Charge,System Loss Charge,UC-ME,UC-EC,UC-SCC,Fit-All (Renewable),Lifeline Rate Subsidy,Senior Citizen Subsidy,Power Act Reduction,Distribution Rate True-Up,Current RPT Charge,UC-ME for (NPC-SPUG),UC-ME for (RED-CI),UC-SD,Prev. Mos' Adj on Gen Cost,Dist Rate True-Up 1,Dist Rate True-Up 2,Dist Rate True-Up 3,Dist Rate True-Up 4,Cross Subsidy Charge,For Non-lifeline: Lifeline Subsidy,Current RPT,Prev. Mos' Adj on Gen,Reset Cost Adjustment,Total per kWh,Transmission Charge,Distribution Charge,Total per kW,Supply Charge,Metering Charge,Total per cust/mo,Lifeline Discount,Special Discount,For Lifeline: Applicable Discounts,Total %,Power Factor Adj,Power Factor Adj
Unit,,,,,,,,,,,,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,,per kW,per kW,,per cust/mo,per cust/mo,,%,%,%,,Penalty,Disc
0,Residential,0 TO 20 KWH,,,0.0,20,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,100.00%,,,100.0,,
1,Residential,21 TO 50 KWH,,,21.0,50,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,50.00%,,,50.0,,
2,Residential,51 TO 70 KWH,,,51.0,70,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,35.00%,,,35.0,,
3,Residential,71 TO 100 KWH,,,71.0,100,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,20.00%,,,20.0,,
4,Residential,101 TO 200 KWH,,,101.0,200,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.207,,,0.0,19.57,5.00,24.57,,,,0.0,,
5,Residential,201 TO 300 KWH,,,201.0,300,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,1.5518,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.5643,,,0.0,19.57,5.00,24.57,,,,0.0,,
6,Residential,301 TO 400 KWH,,,301.0,400,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,1.8890,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.9014999999999995,,,0.0,19.57,5.00,24.57,,,,0.0,,
7,Residential,OVER 400 KWH,,,400.0,,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,2.4763,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,5.4887999999999995,,,0.0,19.57,5.00,24.57,,,,0.0,,
8,General Service A,0 TO 200 KWH,,,0.0,200,Apr-13,03-26-13,04-25-13,2.1170999999999998,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,4.208,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
